,episode,locations
193,GAG150,"[('Bendestorf.', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Niedersachsen', 9.075962, 52.8398531), ('Hamburg', 10.000654, 53.550341), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656)]"
194,GAG149,"[('Island', -18.1059013, 64.9841821)]"
195,GAG147,"[('Deutschland', 10.4478313, 51.1638175)]"
196,GAG146,"[('Südamerika', -61.0006565, -21.0002179), ('La Plata-Region', -70.393151, -29.1333325), ('Paraguay', -58.1693445, -23.3165935), ('Argentinien,', -64.9672817, -34.9964963), ('Brasilien', -53.2, -10.3333333)]"
197,GAG145,"[('Bratislava', 17.1093063, 48.1516988)]"
198,GAG141,"[('Kabakon', 152.3969375, -4.237125000000001)]"
199,GAG140,"[('Moskau', 37.6174943, 55.7504461), ('Deutschland', 10.4478313, 51.1638175), ('Moskau', 37.6174943, 55.7504461), ('Moskau.', 37.6174943, 55.7504461)]"
200,GAG139,"[('Frankreich', 1.8883335, 46.603354)]"
201,GAG136,"[('Wiens', 7.7257921, 51.7455388)]"
202,GAG135,"[('Wien', 16.3725042, 48.2083537)]"
203,GAG134,"[('Schweiz', 8.2319736, 46.7985624)]"
204,GAG132,"[('Bremer', -92.3099856, 42.7669649), ('Bremen', 8.8071646, 53.0758196)]"
205,GAG131,"[('Großbritanniens', 12.50154043735413, 41.90823145)]"
206,GAG130,"[('Geschehens', 10.5677982, 47.9952098), ('Kleinasiens', 13.79033159272656, 52.8183204)]"
207,GAG129,"[('Englands', -1.8595357657235332, 51.7039725)]"
208,GAG128,"[('USA', -100.445882, 39.7837304)]"
209,GAG127,"[('Altona', 9.777669726868917, 53.58646755)]"
210,GAG126,"[('Geschehens', 10.5677982, 47.9952098)]"
211,GAG125,"[('Texas', -98.5456116, 31.2638905), ('Texas', -98.5456116, 31.2638905), ('Mexiko', -102.0077097, 23.6585116), ('Republik Texas', -95.56868264469539, 29.728593449999998)]"
212,GAG123,"[('Sachsen', 13.4585052, 50.9295798), ('Nordamerikas', 12.4113744, 51.3028882)]"
213,GAG122,"[('Geschehens', 10.5677982, 47.9952098)]"
214,GAG121,"[('Afrika', 17.7578122, 11.5024338), ('Westafrika', 9.609507, 52.746658)]"
215,GAG119,"[('Berlin', 13.3888599, 52.5170365), ('Heiligenberg', 7.3909733, 48.5378755), ('Bad Segeberg', 10.3137943, 53.9422672)]"
216,GAG117,"[('Berlin', 13.3888599, 52.5170365)]"
217,GAG116,"[('Island', -18.1059013, 64.9841821)]"
218,GAG115,"[('Dortmund', 7.4652789, 51.5142273), ('Lübeck', 10.684738, 53.866444)]"
219,GAG114,"[('Scarp', -7.13480405326173, 58.020549149999994)]"
220,GAG112,"[('München.', 11.5753822, 48.1371079), ('Bayerns', 11.569015, 48.1440788)]"
221,GAG109,"[('Albanien', 19.9999619, 41.000028)]"
