episode,locations
GAG121,"[('Afrika', 17.7578122, 11.5024338), ('Westafrika', 9.609507, 52.746658)]"
GAG119,"[('Berlin', 13.3888599, 52.5170365), ('Heiligenberg', 7.3909733, 48.5378755), ('Bad Segeberg', 10.3137943, 53.9422672)]"
GAG117,"[('Berlin', 13.3888599, 52.5170365)]"
GAG116,"[('Island', -18.1059013, 64.9841821)]"
GAG115,"[('Dortmund', 7.4652789, 51.5142273), ('Lübeck', 10.684738, 53.866444)]"
GAG114,"[('Scarp', -7.13480405326173, 58.020549149999994)]"
GAG112,"[('München.', 11.5753822, 48.1371079), ('Bayerns', 11.569015, 48.1440788)]"
GAG109,"[('Albanien', 19.9999619, 41.000028)]"
GAG106,"[('England', -1.2649062, 52.5310214), ('Europa', 10.0, 51.0), ('Schottland', -4.1140518, 56.7861112)]"
GAG105,"[('Albaniens', 19.823048036739614, 41.32598515), ('Islam', 8.5313, 14.6822), ('Balkan', 23.814655401592667, 41.77863335), ('Albaniens', 19.823048036739614, 41.32598515)]"
GAG104,"[('England', -1.2649062, 52.5310214), ('Frankreich', 1.8883335, 46.603354), ('Frankreich', 1.8883335, 46.603354)]"
GAG103,"[('Deutschland', 10.4478313, 51.1638175)]"
GAG101,"[('St. Petersburg', 30.316229, 59.938732), ('New York', -74.0060152, 40.7127281)]"
GAG100,"[('Southampton', -1.404189, 50.9025349), ('England', -1.2649062, 52.5310214), ('Sydney', 151.2082848, -33.8698439)]"
GAG99,"[('Budapest', 19.0403594, 47.4979937), ('Todes', 37.6358816, 55.8079073)]"
